[4.7340  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0003
[4.7341  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0000
[4.8663  Replica 0001]: sending heartbeat
[4.8700  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0004
[4.8700  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0002
[4.8700  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0003
[4.8701  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0000
[5.0074  Replica 0001]: sending heartbeat
[5.0133  Replica 0001]: executing PUT (mid: OR6BEUMO5V3ENO1R, key QNQFG92W7FJXJ19PSAJR3SZXC3BPQAKX)
[5.0133  Replica 0001]: sending updates to 0004, highest log index = 0, next index: 0
[5.0134  Replica 0001]: sending updates to 0003, highest log index = 0, next index: 0
[5.0134  Replica 0001]: sending updates to 0002, highest log index = 0, next index: 0
[5.0134  Replica 0001]: sending updates to 0000, highest log index = 0, next index: 0
[5.0145  Replica 0001]: highest: -1
[5.0145  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0003
[5.0146  Replica 0001]: highest: -1
[5.0146  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0004
[5.0146  Replica 0001]: highest: -1
[5.0146  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0002
[5.0146  Replica 0001]: highest: -1
[5.0146  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0000
[5.0157  Replica 0004]: received entries: 1
[5.0157  Replica 0004]: successfully added QNQFG92W7FJXJ19PSAJR3SZXC3BPQAKX to log, up to index 0)
[5.0162  Replica 0002]: received entries: 1
[5.0162  Replica 0002]: successfully added QNQFG92W7FJXJ19PSAJR3SZXC3BPQAKX to log, up to index 0)
[5.0167  Replica 0003]: received entries: 1
[5.0167  Replica 0003]: successfully added QNQFG92W7FJXJ19PSAJR3SZXC3BPQAKX to log, up to index 0)
[5.0171  Replica 0000]: received entries: 1
[5.0172  Replica 0000]: successfully added QNQFG92W7FJXJ19PSAJR3SZXC3BPQAKX to log, up to index 0)
[5.0172  Replica 0001]: highest: -1
[5.0172  Replica 0001]: received confirmation that key indexes up to 0 are replicated on 0004
[5.0172  Replica 0001]: highest: 0
[5.0172  Replica 0001]: committing key QNQFG92W7FJXJ19PSAJR3SZXC3BPQAKX, value da7d117520203090e72171715dca4f59 to state machine (mid=OR6BEUMO5V3ENO1R)
[5.0172  Replica 0001]: completed PUT (mid: OR6BEUMO5V3ENO1R)
[5.0172  Replica 0001]: received confirmation that key indexes up to 0 are replicated on 0003
[5.0176  Replica 0001]: highest: 0
[5.0176  Replica 0001]: received confirmation that key indexes up to 0 are replicated on 0000
[5.0177  Replica 0001]: highest: 0
[5.0177  Replica 0001]: received confirmation that key indexes up to 0 are replicated on 0002
[5.1192  Replica 0001]: executing PUT (mid: CK0B6D3IEWWMZ6VN, key AGPVKB24YXDHCQXPJNOYC7GLWRC5PD87)
[5.1192  Replica 0001]: sending updates to 0004, highest log index = 1, next index: 1
[5.1206  Replica 0001]: sending updates to 0003, highest log index = 1, next index: 1
[5.1206  Replica 0001]: sending updates to 0002, highest log index = 1, next index: 1
[5.1219  Replica 0001]: sending updates to 0000, highest log index = 1, next index: 1
[5.1224  Replica 0003]: committing key QNQFG92W7FJXJ19PSAJR3SZXC3BPQAKX, value da7d117520203090e72171715dca4f59 to state machine (mid=OR6BEUMO5V3ENO1R)
[5.1224  Replica 0003]: received entries: 1
[5.1224  Replica 0003]: successfully added AGPVKB24YXDHCQXPJNOYC7GLWRC5PD87 to log, up to index 1)
[5.1228  Replica 0004]: committing key QNQFG92W7FJXJ19PSAJR3SZXC3BPQAKX, value da7d117520203090e72171715dca4f59 to state machine (mid=OR6BEUMO5V3ENO1R)
[5.1228  Replica 0004]: received entries: 1
[5.1228  Replica 0004]: successfully added AGPVKB24YXDHCQXPJNOYC7GLWRC5PD87 to log, up to index 1)
[5.1233  Replica 0001]: highest: 0
[5.1233  Replica 0001]: received confirmation that key indexes up to 1 are replicated on 0003
[5.1233  Replica 0001]: highest: 1
[5.1233  Replica 0001]: committing key AGPVKB24YXDHCQXPJNOYC7GLWRC5PD87, value b10735e82e6ebb5599dd63dc2f7a58da to state machine (mid=CK0B6D3IEWWMZ6VN)
[5.1233  Replica 0001]: completed PUT (mid: CK0B6D3IEWWMZ6VN)
[5.1238  Replica 0002]: committing key QNQFG92W7FJXJ19PSAJR3SZXC3BPQAKX, value da7d117520203090e72171715dca4f59 to state machine (mid=OR6BEUMO5V3ENO1R)
[5.1239  Replica 0002]: received entries: 1
[5.1239  Replica 0002]: successfully added AGPVKB24YXDHCQXPJNOYC7GLWRC5PD87 to log, up to index 1)
[5.1247  Replica 0000]: committing key QNQFG92W7FJXJ19PSAJR3SZXC3BPQAKX, value da7d117520203090e72171715dca4f59 to state machine (mid=OR6BEUMO5V3ENO1R)
[5.1247  Replica 0000]: received entries: 1
[5.1247  Replica 0000]: successfully added AGPVKB24YXDHCQXPJNOYC7GLWRC5PD87 to log, up to index 1)
[5.1249  Replica 0001]: received confirmation that key indexes up to 1 are replicated on 0004
[5.1249  Replica 0001]: highest: 1
[5.1249  Replica 0001]: received confirmation that key indexes up to 1 are replicated on 0002
[5.1250  Replica 0001]: executing PUT (mid: N4PMAV6HKNXGIGIQ, key QRIFURXI618K239B89EKSXKBH08EAFJT)
